39.0,394,71,1603
69.0,400,91,1581
99.0,386,75,1581
139.0,380,69,1567
169.0,367,69,1532
239.0,373,67,1519
269.0,360,75,1512
300.0,353,71,1506
340.0,348,76,1492
369.0,338,83,1480
399.0,337,95,1473
439.0,328,98,1461
469.0,321,98,1455
500.0,320,111,1449
539.0,312,118,1443
569.0,305,126,1437
600.0,308,134,1437
639.0,293,148,1431
669.0,289,164,1419
700.0,281,178,1413
739.0,271,187,1413
769.0,265,200,1407
800.0,246,221,1396
839.0,238,229,1396
869.0,218,247,1390
899.0,195,291,1352
939.0,194,270,1390
969.0,149,296,1385
1000.0,145,296,1390
1039.0,99,309,1379
1070.0,79,314,1374
1099.0,58,317,1363
1140.0,36,309,1352
1170.0,16,298,1347
1200.0,7,293,1342
1240.0,7,293,1347
1270.0,0,267,1379
1310.0,0,240,1425
1341.0,0,218,1455
1410.0,0,189,1492
1440.0,0,173,1512
1471.0,0,149,1506
1510.0,1,141,1506
1540.0,0,120,1499
1571.0,0,113,1473
1610.0,0,101,1443
1640.0,0,90,1419
1670.0,0,81,1396
1710.0,0,74,1352
1740.0,0,67,1331
1770.0,0,66,1291
1810.0,0,61,1254
1841.0,0,63,1240
1871.0,2,75,1236
1910.0,16,89,1245
1941.0,26,108,1245
1971.0,41,124,1254
2010.0,63,145,1268
2041.0,74,166,1287
2071.0,92,181,1306
2110.0,105,203,1316
2141.0,121,226,1352
2171.0,149,248,1374
2210.0,166,268,1402
2241.0,175,285,1437
2271.0,201,320,1455
2310.0,218,306,1492
2341.0,233,318,1519
2371.0,251,318,1553
2410.0,257,327,1574
2440.0,295,308,1603
2471.0,320,295,1618
2510.0,335,283,1618
2540.0,330,297,1539
2571.0,365,243,1618
2610.0,369,231,1611
2640.0,376,206,1603
2671.0,384,179,1596
2710.0,384,162,1589
2740.0,383,145,1574
2771.0,395,133,1560
2810.0,375,108,1546
2840.0,373,93,1525
2871.0,373,81,1512
2910.0,357,75,1499
2940.0,342,68,1473
2971.0,340,61,1455
3010.0,331,62,1443
3040.0,317,59,1431
3071.0,316,62,1413
3110.0,297,70,1396
3141.0,284,88,1385
3171.0,286,120,1368
3210.0,263,143,1363
3241.0,253,129,1358
3271.0,241,150,1358
3310.0,238,161,1358
3341.0,230,182,1368
3368.0,221,206,1368
3408.0,208,229,1385
3468.0,191,269,1413
3508.0,179,293,1431
3538.0,166,313,1449
3568.0,159,322,1467
3621.0,128,341,1473
3639.0,125,341,1492
3669.0,111,345,1499
3709.0,89,340,1499
3740.0,72,339,1467
3769.0,64,329,1473
3809.0,44,319,1449
3839.0,33,307,1437
3869.0,11,301,1407
3910.0,9,258,1396
3940.0,0,249,1396
3970.0,1,252,1390
4010.0,0,219,1402
4040.0,0,201,1413
4070.0,0,169,1425
4110.0,0,153,1413
4140.0,0,141,1413
4170.0,0,126,1402
4210.0,0,107,1390
4240.0,0,97,1358
4268.0,0,90,1347
4308.0,0,92,1316
4338.0,0,82,1311
4377.0,12,99,1301
4408.0,25,107,1301
4438.0,28,102,1301
4491.0,40,109,1301
4509.0,58,123,1311
4539.0,70,138,1316
4579.0,84,156,1331
4609.0,101,174,1342
4639.0,117,193,1363
4680.0,137,206,1379
4710.0,152,231,1396
4740.0,164,241,1407
4780.0,187,260,1443
4810.0,208,278,1461
4840.0,226,284,1492
4880.0,226,299,1492
4910.0,260,295,1546
4940.0,259,309,1567
4980.0,292,295,1596
5010.0,315,290,1618
5040.0,321,286,1634
5080.0,336,279,1649
5110.0,353,266,1657
5140.0,362,257,1665
5180.0,373,235,1673
5210.0,388,226,1673
5240.0,387,208,1673
5280.0,399,193,1673
5310.0,395,172,1657
5340.0,400,158,1634
5380.0,390,140,1634
5410.0,394,129,1611
5440.0,386,114,1596
5480.0,374,105,1567
5510.0,362,96,1546
5540.0,352,89,1525
5580.0,354,87,1499
5610.0,331,81,1473
5640.0,319,84,1461
5680.0,307,86,1443
5710.0,294,94,1431
5740.0,283,108,1413
5780.0,266,114,1402
5810.0,258,158,1390
5840.0,247,142,1390
5880.0,240,154,1379
5910.0,232,179,1390
5940.0,215,191,1396
5980.0,210,213,1396
6010.0,185,269,1396
6040.0,192,262,1419
6080.0,175,282,1437
6110.0,172,295,1461
6140.0,140,319,1467
6180.0,137,345,1461
